season_id,edition_id,game_id,action_number,period,home_score,away_score,remaining_period_time,type,player_id,Unnamed: 10,opponent_id,x,y,details,linked_action_number,h1,h2,h3,h4,h5,a1,a2,a3,a4,a5,home_team_name,away_team_name,team_side,home_win,type_h,home_point_diff,remaining_time,2FGA_h,2FGA_a,2FGM_h,2FGM_a,3FGA_h,3FGA_a,3FGM_h,3FGM_a,OREB_h,OREB_a,DREB_h,DREB_a,PF_h,PF_a,PFD_h,PFD_a,BLK_h,BLK_a,BLKA_h,BLKA_a,TOV_h,TOV_a,FTM_h,FTM_a,FTA_h,FTA_a,TOUT_h,TOUT_a,AST_h,AST_a,STL_h,STL_a,remaining_time_transformed,time_point_diff_interaction,home_prior,eFG%_h,eFG%_a,TS%_h,TS%_a,OREB%_h,OREB%_a,DREB%_h,DREB%_a,TOV%_h,TOV%_a,FTr_h,FTr_a,score_diff_rolling,lead_changes
22-23,22-23 EL,GAME_ID_1,255,3,44,42,469.0,FTM,Mateusz Ponitka,Panathinaikos Athens,OPPONENT_ID_1,,,1/2,253.0,Johannes Voigtmann,Nicolo Melli,Shabazz Napier,Stefano Tonut,Timothe Luwawu Cabarrot,Derrick Williams,Dwayne Bacon,Eleftherios Mantzoukas,Mateusz Ponitka,Paris Lee,EA7 Emporio Armani Milan,Panathinaikos Athens,AWAY,1,FTM_a,2,1069.0,25,15,14,11,13,19,5,5,7,5,13,12,7,9,9,7,2,0,0,2,6,7,1,5,1,6,1,2,9,9,2,3,0.000935453694167,0.001870907388334,0.5,0.4342105263157895,0.3970588235294117,0.5723204994797086,0.5731441048034934,0.3684210526315789,0.2777777777777778,0.7222222222222222,0.631578947368421,0.135013501350135,0.1604032997250229,0.0263157894736842,0.1764705882352941,0.0,7
23-24,23-24 EL,GAME_ID_2,317,3,46,35,484.0,BLK,Isaia Cordinier,Virtus Segafredo Bologna,OPPONENT_ID_2,,,,315.0,Bryant Dunston,Daniel Hackett,Isaia Cordinier,Marco Belinelli,Tornike Shengelia,Adam Hanga,Branko Lazic,Dejan Davidovac,Luka Mitrovic,Shabazz Napier,Virtus Segafredo Bologna,Crvena Zvezda Meridianbet Belgrade,HOME,1,BLK_h,11,1084.0,18,20,11,11,16,15,7,1,4,6,17,13,15,10,10,15,4,0,0,4,10,6,3,10,6,14,2,2,13,8,1,7,0.0009225092242412,0.0101476014666535,0.5,0.4264705882352941,0.3285714285714285,0.6277292576419213,0.4251700680272109,0.2352941176470588,0.2608695652173913,0.7391304347826086,0.7647058823529411,0.2144082332761578,0.1272264631043257,0.1764705882352941,0.4,2.0,1
23-24,23-24 EL,GAME_ID_3,297,3,46,56,320.0,2FGM,Diego Flaccadori,EA7 Emporio Armani Milan,OPPONENT_ID_3,1.0,0.62,,,Jan Vesely,Joel Parra,Nicolas Laprovittola,Nikola Kalinic,Tomas Satoransky,Alex Poythress,Devon Hall,Diego Flaccadori,Nicolo Melli,Shavon Shields,FC Barcelona,EA7 Emporio Armani Milan,AWAY,0,2FGM_a,-10,920.0,27,22,15,11,10,20,2,9,4,7,14,15,13,13,13,12,0,1,1,0,5,6,10,7,11,7,2,2,14,7,5,1,0.0010869565205576,-0.0108695652055765,0.5,0.4324324324324324,0.369047619047619,0.5497131931166348,0.6211180124223603,0.2105263157894736,0.3333333333333333,0.6666666666666666,0.7894736842105263,0.1067463706233988,0.1174628034455755,0.2972972972972973,0.1666666666666666,0.0,1
19-20,19-20 EL,GAME_ID_4,543,4,78,72,0.0,GE,,,OPPONENT_ID_4,,,,,Devin Booker,Jonas Jerebko,Sergey Monia,Stefan Jovic,Vyacheslav Zaytsev,Dejan Davidovac,James Gist,Kevin Punter,Marko Jagodic Kuridza,Ognjen Dobric,Khimki Moscow Region,Crvena Zvezda mts Belgrade,,1,GE_na,6,0.0,37,40,15,18,27,21,10,7,10,12,26,33,19,23,22,19,3,3,3,3,13,21,18,15,23,18,2,4,19,12,11,8,1000000.0,6000000.0,0.5,0.3125,0.3524590163934426,0.526173772261198,0.522344747533372,0.2325581395348837,0.3157894736842105,0.6842105263157895,0.7674418604651163,0.1492194674012855,0.2335409252669039,0.359375,0.2950819672131147,-7.0,4
21-22,21-22 EL,GAME_ID_5,461,4,58,67,330.0,FTM,Nate Wolters,Crvena Zvezda mts Belgrade,OPPONENT_ID_5,,,1/2,459.0,Branko Lazic,Dejan Davidovac,Nate Wolters,Nikola Kalinic,Ognjen Kuzmic,Brandon Davies,Dante Exum,Nigel Hayes Davis,Rokas Jokubaitis,Rolands Smits,Crvena Zvezda mts Belgrade,FC Barcelona,HOME,0,FTM_h,-9,330.0,40,33,19,17,13,16,2,8,12,8,15,23,18,22,21,17,1,0,0,1,4,11,14,9,22,10,3,2,8,20,6,2,0.0030303030211202,-0.0272727271900826,0.5,0.3773584905660377,0.4285714285714285,0.4626675175494575,0.6273408239700374,0.3428571428571428,0.3478260869565217,0.6521739130434783,0.6571428571428571,0.05998800239952,0.170807453416149,0.4150943396226415,0.2040816326530612,0.0,3
